OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,OFF_Year,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
302,Offense--cle-2022,21.2,361,42,350,142,182,26,88-231,38.10,23-42,54.76,335-540,3444,6.9,202.6,19,12,44-266,532,2490,4.7,146.5,19,1116,6200,364.7,41-943,23.0,31-298,12.3,11-57,5.2,43.3,"61-2,959",24-32,61,102-865,50,31:49,15-9,-1,17,2022,303,22.4,381,42,329,129,166,34,85-215,39.54,8-18,44.44,315-519,3336,6.8,196.2,20,11,34-211,488,2295,4.7,135.0,22,1041,5842,343.6,29-648,22.3,26-319,9.6,12-144,12.0,41.4,"64-2,945",30-35,48,88-714,42,28:44,26-9,276,17
304,Offense--dal-2004,18.2,291,33,296,101,171,24,78-214,36.45,9-17,52.94,308-519,3428,7.0,214.3,19,23,36-208,449,1769,3.9,110.6,14,1004,5405,337.8,"62-1,083",17.5,44-390,10.5,13-109,8.4,36.9,"76-3,216",20-26,4,105-867,54,30:37,26-13,0,16,2004,305,19.3,405,49,297,88,180,29,75-192,39.06,2-7,28.57,310-502,3521,7.4,220.1,31,13,33-197,425,1764,4.2,110.3,14,960,5482,342.6,"78-1,603",20.6,39-410,8.9,23-526,22.9,36.8,"78-3,260",21-23,5,104-879,54.938,29:22,18-6,0,16
306,Offense--dal-2005,20.3,325,38,318,97,177,44,94-232,40.52,7-13,53.85,300-500,3341,7.3,208.8,23,17,50-298,521,1861,3.6,116.3,13,1071,5500,343.8,"66-1,432",21.7,45-284,7.6,15-187,12.5,39.3,"82-3,474",20-28,8,99-739,46,32:34,35-13,0,16,2005,307,15.4,308,35,256,87,150,19,73-211,34.60,7-11,63.64,271-495,3083,6.7,192.7,18,15,37-236,414,1731,4.2,108.2,13,946,5050,315.6,"64-1,523",23.8,33-250,6.3,17-326,19.2,38.0,"95-3,892",21-27,8,"142-1,015",63.438,27:44,21-10,0,16
308,Offense--dal-2006,26.6,425,52,336,107,197,32,100-205,48.78,9-19,47.37,310-506,3836,8.0,239.8,26,21,37-231,472,1936,4.1,121.0,21,1015,6003,375.2,"80-1,571",19.6,40-335,10.8,18-234,13.0,42.2,"56-2,697",20-28,9,100-939,58,31:02,19-6,0,16,2006,309,16.7,350,40,294,88,179,27,93-212,43.87,8-16,50.00,301-511,3506,7.3,219.1,25,18,34-223,429,1659,3.9,103.7,12,974,5388,336.8,"64-1,493",23.3,31-334,8.4,21-334,15.9,38.4,"72-3,100",22-25,11,93-895,55.938,28:57,25-10,0,16
310,Offense--dal-2007,28.4,455,54,322,83,217,22,84-199,42.21,10-14,71.43,342-531,4105,8.1,256.6,36,19,25-185,419,1746,4.2,109.1,14,975,6036,377.3,"86-1,979",23.0,26-227,11.6,19-331,17.4,40.7,"63-2,970",26-31,4,104-815,50,30:33,17-4,0,16,2007,311,16.3,325,36,304,86,195,23,85-216,39.35,10-18,55.56,342-581,3409,6.4,213.1,19,19,46-319,381,1513,4.0,94.6,12,1008,5241,327.6,"61-1,358",22.3,35-406,8.7,19-191,10.1,41.9,"73-3,284",25-31,12,85-785,49.063,29:26,23-7,0,16
312,Offense--dal-2008,22.6,362,43,291,102,171,18,91-212,42.93,7-12,58.33,328-547,3789,7.3,236.8,29,20,31-199,401,1723,4.3,107.7,12,979,5711,356.9,"71-1,510",21.3,37-238,10.5,8-36,4.5,38.9,"77-3,388",20-22,0,119-952,59,30:02,29-11,0,16,2008,313,17.4,365,36,276,85,163,28,77-216,35.65,8-14,57.14,308-508,3003,6.6,187.7,19,8,59-374,402,1706,4.2,106.6,11,969,5083,317.7,"70-1,554",22.2,37-390,6.4,20-349,17.5,41.7,"73-3,281",38-44,13,87-601,37.563,30:01,28-11,0,16
314,Offense--dal-2009,22.6,361,43,335,110,203,22,82-202,40.59,4-11,36.36,347-550,4287,8.2,267.9,26,9,34-196,436,2103,4.8,131.4,14,1020,6586,411.6,47-967,20.6,39-426,8.3,11-33,3.0,40.8,"72-3,249",20-31,37,115-892,55,32:16,20-8,0,16,2009,315,12.5,250,28,286,74,186,26,70-200,35.00,6-12,50.00,344-572,3606,6.8,225.4,19,11,42-268,365,1448,4.0,90.5,7,979,5322,332.6,"47-1,032",22.0,38-314,10.9,9-96,10.7,39.8,"92-4,084",18-26,18,93-768,48,28:08,23-10,0,16
316,Offense--dal-2010,24.6,394,46,327,104,201,22,86-211,40.76,13-22,59.09,379-576,4042,7.3,252.6,29,19,31-166,428,1786,4.2,111.6,10,1035,5994,374.6,"56-1,363",24.3,24-382,6.2,20-302,15.1,44.8,"65-3,115",24-32,26,109-863,53,31:24,24-8,0,16,2010,317,21.7,434,51,309,84,200,25,81-204,39.71,4-9,44.44,348-540,3894,7.7,243.4,33,20,35-257,402,1734,4.3,108.4,11,977,5885,367.8,"74-1,572",21.2,33-205,15.9,19-277,14.6,37.7,"70-3,020",25-27,15,79-641,40.063,29:01,18-8,0,16
318,Offense--dal-2011,23.1,369,39,327,91,219,17,78-198,39.39,5-10,50.00,376-570,4201,7.8,262.6,33,12,39-252,408,1807,4.4,112.9,5,1017,6260,391.3,"52-1,114",21.4,41-293,9.3,15-217,14.5,39.6,"70-3,047",32-37,38,114-816,51,31:24,20-9,0,16,2011,319,17.4,347,38,305,78,199,28,81-204,39.71,4-11,36.36,336-545,3906,7.6,244.1,24,15,42-243,385,1585,4.1,99.1,10,972,5734,358.4,33-768,23.3,30-278,7.1,12-158,13.2,43.4,"72-3,420",26-33,56,85-650,40.625,29:33,19-9,0,16
320,Offense--dal-2012,23.5,376,41,338,76,237,25,93-212,43.87,8-11,72.73,434-658,4729,7.6,295.6,29,19,36-263,355,1265,3.6,79.1,8,1049,6257,391.1,"50-1,102",22.0,34-420,9.6,7-147,21.0,40.0,"68-3,039",29-31,36,117-853,53,31:01,18-8,0,16,2012,321,19.0,400,45,317,92,195,30,81-202,40.10,6-11,54.55,320-511,3684,7.6,230.3,22,7,34-211,441,2003,4.5,125.2,17,986,5898,368.6,36-741,20.6,29-279,12.4,19-340,17.9,39.8,"74-3,362",29-33,56,89-726,45.375,29:54,18-7,0,16
322,Offense--dal-2013,27.4,439,51,325,80,213,32,63-180,35.00,4-6,66.67,375-586,3954,7.2,247.1,33,12,35-272,336,1504,4.5,94.0,12,957,5730,358.1,38-791,20.8,31-386,9.2,15-257,17.1,40.6,"77-3,467",28-30,56,102-867,54,29:01,18-6,0,16,2013,323,21.6,432,51,388,122,231,35,91-210,43.33,9-18,50.00,403-623,4589,7.8,286.8,33,15,34-246,437,2056,4.7,128.5,17,1094,6891,430.7,"45-1,147",25.5,37-339,12.5,12-140,11.7,40.9,"61-2,880",25-29,45,112-875,54.688,30:58,15-10,0,16
324,Offense--dal-2014,29.2,467,56,342,106,205,31,95-201,47.26,3-6,50.00,328-476,3784,8.4,236.5,37,11,30-224,508,2354,4.6,147.1,16,1014,6362,397.6,43-921,21.4,30-275,9.6,18-228,12.7,40.4,"57-2,586",25-29,53,105-839,52,32:50,20-14,6,16,2014,325,16.7,350,43,315,86,195,34,89-204,43.63,10-20,50.00,371-558,4031,7.5,251.9,22,18,28-156,392,1650,4.2,103.1,18,978,5837,364.8,33-790,23.9,25-240,9.2,11-142,12.9,40.8,"67-3,007",16-18,51,104-861,53.813,28:02,19-11,-6,16
326,Offense--dal-2015,17.2,275,26,307,94,175,38,66-191,34.56,8-16,50.00,334-528,3471,7.0,216.9,16,22,33-206,408,1890,4.6,118.1,8,969,5567,347.9,23-549,23.9,33-183,6.8,8-62,7.8,42.8,"69-3,117",30-32,67,112-879,54,31:07,17-11,-22,16,2015,327,18.7,374,41,317,113,172,32,81-208,38.94,5-10,50.00,330-506,3636,7.6,227.3,19,8,31-229,461,1934,4.2,120.9,16,998,5799,362.4,28-704,25.1,24-162,5.5,22-428,19.5,42.5,"73-3,329",30-36,64,113-898,56.125,29:08,10-2,22,16
328,Offense--dal-2016,26.3,421,49,358,142,191,25,80-189,42.33,8-9,88.89,325-483,3631,7.9,226.9,25,6,28-168,499,2396,4.8,149.8,24,1010,6195,387.2,33-746,22.6,28-198,8.7,9-75,8.3,41.8,"58-2,661",27-32,63,105-879,54,31:54,21-9,5,16,2016,329,15.3,306,34,330,79,226,25,77-197,39.09,9-14,64.29,425-633,4167,6.9,260.4,25,9,36-209,340,1336,3.9,83.5,9,1009,5712,357.0,24-492,20.5,22-192,7.1,6-33,5.5,40.7,"70-3,049",25-32,60,90-784,49,28:32,28-10,-5,16
330,Offense--dal-2017,22.1,354,42,314,127,162,25,87-203,42.86,10-19,52.63,309-493,3141,6.7,196.3,22,13,32-185,480,2170,4.5,135.6,18,1005,5496,343.5,35-759,21.7,31-275,4.2,10-98,9.8,42.9,"66-2,908",22-29,56,97-939,58,30:12,8-9,-1,16,2017,331,15.8,332,40,312,96,181,35,90-210,42.86,4-13,30.77,371-559,3425,6.7,214.1,28,10,38-321,403,1664,4.1,104.0,7,1000,5410,338.1,25-620,24.8,18-75,8.9,13-298,22.9,41.1,"70-3,149",19-25,64,107-880,55,29:47,24-7,1,16
332,Offense--dal-2018,21.2,339,36,322,113,184,25,89-215,41.40,12-21,57.14,356-527,3538,7.4,221.1,22,8,56-347,439,1963,4.5,122.7,13,1022,5848,365.5,25-662,26.5,21-119,8.5,9-141,15.7,40.3,"60-2,670",29-36,68,104-885,55,31:31,21-9,3,16,2018,333,16.2,324,35,309,89,193,27,85-201,42.29,6-14,42.86,367-542,3755,7.4,234.7,22,9,39-229,400,1513,3.8,94.6,12,981,5497,343.6,13-283,21.8,30-254,5.7,8-77,9.6,42.8,"64-2,856",27-30,78,89-681,42.563,29:29,21-11,-3,16
334,Offense--dal-2019,27.1,434,49,379,120,229,30,96-204,47.06,7-16,43.75,388-597,4751,8.2,296.9,30,11,23-151,449,2153,4.8,134.6,18,1069,7055,440.9,35-815,23.3,23-131,8.6,7-83,11.9,37.7,"50-2,079",30-40,55,"109-1,008",63,29:32,15-7,-1,16,2019,335,20.1,321,35,327,101,188,38,67-201,33.33,10-22,45.46,370-569,3576,6.8,223.5,21,7,39-303,407,1656,4.1,103.5,14,1015,5535,345.9,20-325,16.3,18-154,5.7,11-111,10.1,44.3,"69-3,188",26-32,72,102-855,53.438,30:27,18-10,1,16
336,Offense--dal-2020,24.7,395,42,371,115,231,25,87-215,40.47,17-31,54.84,413-639,4161,7.1,260.1,25,13,44-349,430,1788,4.2,111.8,14,1113,6298,393.6,29-606,20.9,29-265,8.8,10-103,10.3,42.4,"50-2,250",34-41,65,96-849,53,28:21,18-13,-3,16,2020,337,29.4,471,57,359,142,180,37,98-209,46.89,10-21,47.62,328-513,3642,7.4,227.6,34,10,31-178,510,2541,5.0,158.8,20,1054,6361,397.6,37-965,26.1,15-132,9.1,13-97,7.5,40.7,"54-2,461",24-27,61,91-733,45.813,31:38,21-13,3,16
338,Offense--dal-2021,31.2,530,65,390,111,248,31,99-228,43.42,14-24,58.33,444-647,4800,7.7,282.4,40,11,33-163,473,2119,4.5,124.6,15,1153,7082,416.6,29-719,24.8,28-185,6.5,26-405,15.6,45.8,"65-3,143",29-35,81,"127-1,103",64,30:40,26-9,14,17,2021,339,21.1,358,39,327,99,191,37,76-223,34.08,16-26,61.54,364-612,4049,7.1,238.2,24,26,41-297,429,1918,4.5,112.8,13,1082,6264,368.5,18-468,26.0,25-163,6.6,11-145,13.2,41.4,"68-3,125",29-35,63,121-973,57.235,30:00,14-8,278,17
340,Offense--dal-2022,27.5,467,55,347,129,194,24,105-231,45.46,10-19,52.63,355-556,3736,7.0,219.8,28,18,27-175,531,2298,4.3,135.2,24,1114,6209,365.2,22-526,23.9,29-303,8.1,16-60,3.8,44.6,"68-3,291",29-32,78,104-842,49,29:37,14-5,10,17,2022,341,20.1,342,35,327,119,174,34,87-231,37.66,12-22,54.55,345-550,3415,6.8,200.9,23,16,54-352,497,2198,4.4,129.3,9,1101,5965,350.9,21-509,24.2,32-258,10.4,18-354,19.7,41.8,"70-3,273",34-40,71,98-851,50.059,30:57,28-17,286,17
342,Offense--den-2004,23.8,381,42,351,127,184,40,78-206,37.86,7-14,50.00,303-521,3999,7.8,249.9,27,20,15-90,534,2333,4.4,145.8,13,1070,6422,401.4,"68-1,635",24.0,43-400,9.2,12-175,14.6,36.8,"69-2,834",29-34,19,93-880,55,32:37,22-8,0,16,2004,343,15.2,304,35,235,83,130,22,65-209,31.10,5-14,35.71,272-484,2947,6.6,184.2,17,12,38-266,396,1512,3.8,94.5,16,918,4725,295.3,"53-1,122",21.2,32-295,9.3,20-344,17.2,40.5,"95-4,250",21-26,21,"120-1,062",66.375,27:22,24-7,0,16
344,Offense--den-2005,24.7,395,46,330,145,162,23,76-210,36.19,14-19,73.68,279-465,3227,7.3,201.7,18,7,23-146,542,2539,4.7,158.7,25,1030,5912,369.5,"67-1,696",25.3,33-281,7.4,20-379,19.0,40.2,"72-3,157",24-32,17,97-756,47,32:39,19-8,0,16,2005,345,12.3,258,31,295,82,183,30,76-207,36.72,10-19,52.63,344-613,3643,6.3,227.7,20,20,28-190,344,1363,4.0,85.2,10,985,5196,324.8,47-975,20.7,36-266,8.5,7-43,6.1,41.4,"81-3,633",14-18,16,139-989,61.813,27:25,29-12,0,16
346,Offense--den-2006,19.9,319,34,285,106,151,28,78-211,36.97,7-13,53.85,256-454,2799,6.6,174.9,20,18,31-196,488,2152,4.4,134.5,12,973,5147,321.7,"55-1,480",26.9,32-294,6.9,17-244,14.4,38.4,"80-3,338",27-29,25,67-478,29,30:24,29-10,0,16,2006,347,14.5,305,29,291,97,183,11,81-221,36.65,5-14,35.71,327-538,3410,6.7,213.1,13,17,35-202,447,1813,4.1,113.3,13,1020,5425,339.1,"54-1,187",22.0,39-268,9.2,18-292,16.2,39.8,"74-3,240",34-42,30,97-785,49.063,30:44,27-10,0,16
348,Offense--den-2007,19.9,318,34,305,96,187,22,80-198,40.40,7-22,31.82,326-515,3584,7.3,224.0,21,15,32-175,429,1957,4.6,122.3,10,976,5716,357.3,"62-1,424",23.0,23-209,10.8,14-105,7.5,39.6,"58-2,630",27-31,17,90-610,38,29:34,30-11,0,16,2007,349,19.5,409,46,306,119,168,19,91-213,42.72,10-13,76.92,279-458,3094,7.2,193.4,25,14,33-203,501,2282,4.6,142.6,14,992,5579,348.7,"58-1,293",22.3,31-334,9.1,15-229,15.3,41.1,"59-2,633",27-33,30,82-628,39.25,31:17,33-15,0,16
350,Offense--den-2008,23.1,370,42,354,103,223,28,95-200,47.50,4-10,40.00,386-620,4471,7.3,279.4,25,18,12-74,387,1862,4.8,116.4,15,1019,6407,400.4,"63-1,554",24.7,20-196,11.8,6-63,10.5,39.6,"46-2,150",25-34,23,77-739,46,28:43,17-11,0,16,2008,351,22.4,448,50,327,122,186,19,89-202,44.06,10-18,55.56,333-495,3656,7.7,228.5,20,6,26-141,469,2337,5.0,146.1,26,990,6134,383.4,"71-1,550",21.8,28-330,9.8,18-153,8.5,42.6,"52-2,413",32-35,25,83-738,46.125,31:16,14-7,0,16
352,Offense--den-2009,20.4,326,34,306,95,186,25,78-215,36.28,7-18,38.89,341-558,3627,6.9,226.7,21,13,34-198,440,1836,4.2,114.8,9,1032,5661,353.8,"49-1,115",22.8,44-419,10.1,17-171,10.1,38.8,"78-3,387",30-35,36,93-800,50,30:11,15-9,0,16,2009,353,16.2,324,34,290,99,167,24,81-218,37.16,8-16,50.00,298-510,2981,6.3,186.3,18,17,39-241,458,2059,4.5,128.7,11,1007,5281,330.1,"57-1,217",21.4,36-363,9.5,13-237,18.2,40.8,"76-3,520",29-31,26,78-726,45.375,30:06,30-12,0,16
354,Offense--den-2010,21.5,344,40,309,81,204,24,67-207,32.37,6-19,31.58,334-580,4038,7.4,252.4,25,12,40-269,398,1544,3.9,96.5,13,1018,5851,365.7,"51-1,259",24.7,31-323,11.0,10-118,11.8,38.2,"86-3,835",22-25,28,98-944,59,28:09,26-10,0,16,2010,355,23.6,471,55,334,126,184,24,80-209,38.28,10-16,62.50,297-502,3780,7.8,236.3,26,10,23-156,531,2473,4.7,154.6,26,1056,6409,400.6,"59-1,435",24.3,50-550,10.4,12-255,21.3,39.0,"73-3,169",29-36,37,98-921,57.563,31:50,17-6,0,16
356,Offense--den-2011,19.3,309,36,286,129,130,27,66-214,30.84,3-13,23.08,217-429,2434,6.3,152.1,20,13,42-274,546,2632,4.8,164.5,11,1017,5340,333.8,20-491,24.6,47-596,11.5,9-152,16.9,41.6,"101-4,783",19-25,67,101-842,52,29:42,30-16,0,16,2011,357,19.5,390,42,315,101,182,32,73-218,33.49,3-9,33.33,333-534,3704,7.5,231.5,24,9,41-283,488,2021,4.1,126.3,11,1063,6008,375.5,39-956,24.5,51-585,12.7,13-276,21.2,40.8,"92-4,350",32-39,53,99-845,52.813,32:04,17-7,0,16
358,Offense--den-2012,30.1,481,57,380,112,232,36,96-213,45.07,3-5,60.00,402-588,4534,7.9,283.4,37,11,21-137,481,1832,3.8,114.5,12,1090,6503,406.4,34-751,22.1,48-445,6.2,16-347,21.7,43.3,"67-3,105",26-32,66,100-805,50,31:16,21-12,0,16,2012,359,13.8,289,32,287,73,183,31,66-216,30.56,7-18,38.89,321-559,3194,6.4,199.6,25,16,52-364,404,1458,3.6,91.1,5,1015,5016,313.5,28-646,23.1,33-203,9.3,11-218,19.8,43.4,"93-4,524",22-25,50,123-951,59.438,28:43,23-7,0,16
360,Offense--den-2013,37.9,606,76,435,107,293,35,95-205,46.34,8-9,88.89,461-675,5444,8.3,340.3,55,10,20-128,461,1873,4.1,117.1,16,1156,7445,465.3,32-936,29.3,44-343,9.8,17-141,8.3,39.7,"65-2,893",25-26,70,"117-1,000",62,30:31,26-11,0,16,2013,361,19.0,399,47,339,90,208,41,83-218,38.07,4-15,26.67,357-613,4070,7.1,254.4,29,17,41-290,420,1626,3.9,101.6,15,1074,5986,374.1,39-974,25.0,28-274,7.8,10-131,13.1,42.2,"87-4,100",23-26,49,97-807,50.438,30:17,21-9,0,16
362,Offense--den-2014,30.1,482,58,360,98,227,35,94-213,44.13,6-13,46.15,399-607,4661,7.9,291.3,40,15,17-118,443,1785,4.0,111.6,15,1067,6564,410.3,35-905,25.9,41-296,11.2,18-213,11.8,38.8,"69-3,048",24-29,65,"120-1,045",65,30:45,15-5,5,16,2014,363,16.9,354,41,311,60,219,32,81-222,36.49,10-17,58.82,399-641,3607,6.0,225.4,29,18,41-252,349,1276,3.7,79.8,9,1031,5135,320.9,32-802,25.1,33-371,7.2,15-228,15.2,42.5,"88-4,035",23-28,55,103-816,51,29:35,21-5,-5,16
364,Offense--den-2015,22.2,355,38,314,85,201,28,79-224,35.27,7-14,50.00,368-606,3970,7.0,248.1,19,23,39-246,411,1718,4.2,107.4,13,1056,5934,370.9,25-508,20.3,29-283,6.9,14-321,22.9,40.7,"85-3,704",30-35,67,"115-1,063",66,30:30,15-8,-4,16,2015,365,14.1,296,32,289,81,162,46,80-227,35.24,5-14,35.71,344-573,3193,6.2,199.6,19,14,52-351,408,1337,3.3,83.6,10,1033,4881,305.1,27-588,21.8,36-247,9.8,23-279,12.1,43.4,"92-4,278",25-32,61,104-773,48.313,30:36,26-10,4,16
366,Offense--den-2016,20.8,333,35,290,76,181,33,75-219,34.25,9-17,52.94,339-570,3685,6.9,230.3,20,11,40-229,410,1484,3.6,92.8,11,1020,5398,337.4,26-526,20.2,37-316,6.8,14-367,26.2,42.7,"89-4,068",29-34,63,119-985,61,29:03,24-14,2,16,2016,367,14.7,293,30,306,101,169,36,86-236,36.44,6-16,37.50,306-552,2972,5.8,185.8,13,14,42-228,482,2085,4.3,130.3,15,1076,5285,330.3,21-481,22.9,40-271,8.5,11-158,14.4,45.3,"89-4,352",29-33,70,110-990,61.875,31:53,23-10,-2,16
368,Offense--den-2017,18.1,289,31,297,92,180,25,94-241,39.00,7-20,35.00,332-566,3333,6.5,208.3,19,22,52-335,457,1852,4.1,115.8,8,1075,5520,345.0,22-497,22.6,41-351,8.6,10-237,23.7,40.8,"74-3,357",24-32,62,113-885,55,31:28,25-12,-17,16,2017,369,19.0,380,44,266,68,166,32,66-209,31.58,7-21,33.33,294-491,3210,6.9,200.6,29,10,33-175,428,1430,3.3,89.4,9,952,4815,300.9,34-768,22.6,30-258,8.6,22-443,20.1,42.4,"87-4,080",24-27,57,89-821,51.313,28:31,11-7,17,16
370,Offense--den-2018,20.6,329,39,320,107,181,32,69-207,33.33,15-25,60.00,367-588,3695,6.7,230.9,19,15,34-235,393,1907,4.9,119.2,18,1015,5837,364.8,28-581,20.8,30-132,10.5,17-158,9.3,40.2,"85-3,786",20-25,58,125-985,61,28:58,18-6,7,16,2018,371,16.6,349,39,318,85,197,36,82-211,38.86,6-11,54.55,353-549,3929,7.7,245.6,26,17,44-311,429,1913,4.5,119.6,11,1022,6153,384.6,30-604,20.1,35-368,4.4,15-258,17.2,44.0,"72-3,346",26-31,60,"123-1,006",62.875,31:01,21-9,-7,16
372,Offense--den-2019,17.6,282,28,279,77,162,40,64-202,31.68,11-16,68.75,312-504,3115,6.7,194.7,16,10,41-286,409,1662,4.1,103.9,11,954,5063,316.4,17-456,26.8,27-208,9.8,10-87,8.7,40.4,"78-3,464",29-34,76,110-912,57,29:20,18-6,1,16,2019,373,19.8,316,31,305,96,175,34,79-211,37.44,9-19,47.37,348-537,3609,7.1,225.6,19,10,40-213,426,1783,4.2,111.4,9,1003,5605,350.3,21-534,25.4,32-314,7.7,10-118,11.8,43.6,"71-3,303",34-39,71,"121-1,041",65.063,30:39,16-5,-1,16
374,Offense--den-2020,20.2,323,35,308,94,176,38,82-212,38.68,4-15,26.67,317-556,3451,6.6,215.7,21,23,32-222,442,1918,4.3,119.9,13,1030,5591,349.4,21-627,29.9,20-267,8.1,10-130,13.0,42.6,"65-3,040",28-35,68,81-670,41,28:58,21-9,-16,16,2020,375,27.9,446,47,333,106,201,26,88-219,40.18,7-14,50.00,374-567,3807,7.2,237.9,21,10,42-282,434,2080,4.8,130.0,22,1043,6169,385.6,27-557,20.6,28-226,13.4,23-336,14.6,40.7,"63-2,829",39-42,73,106-952,59.5,31:01,15-6,16,16
376,Offense--den-2021,19.7,335,37,331,124,179,28,82-213,38.50,16-28,57.14,354-541,3593,7.1,211.4,20,9,40-263,455,2025,4.5,119.1,16,1036,5881,345.9,18-291,16.2,28-230,6.4,13-221,17.0,43.7,"67-3,083",26-31,79,83-711,41,30:48,12-9,1,17,2021,377,18.9,322,36,312,99,192,21,101-225,44.89,11-26,42.31,341-562,3652,6.9,214.8,22,13,36-249,441,1892,4.3,111.3,9,1039,5793,340.8,14-551,39.4,24-154,8.2,9-134,14.9,46.5,"60-3,021",24-31,73,103-921,54.176,29:11,12-6,239,17
378,Offense--den-2022,16.9,287,29,300,105,166,29,67-230,29.13,12-24,50.00,345-571,3592,7.0,211.3,18,15,63-415,444,1935,4.4,113.8,11,1078,5942,349.5,24-420,17.5,37-308,8.2,15-89,5.9,42.8,"96-4,470",28-36,70,113-970,57,29:57,26-9,-1,17,2022,379,21.1,359,35,324,109,180,35,75-220,34.09,9-14,64.29,392-605,3574,6.3,210.2,20,15,36-245,438,1866,4.3,109.8,12,1079,5685,334.4,21-445,21.2,44-362,8.3,15-259,17.3,47.8,"85-4,374",39-41,72,106-922,54.235,31:00,23-8,284,17
380,Offense--det-2004,18.5,296,32,263,92,142,29,66-210,31.43,6-16,37.50,285-505,2916,6.2,182.3,19,13,37-208,407,1777,4.4,111.1,7,949,4901,306.3,"54-1,058",19.6,40-420,9.6,14-216,15.4,36.1,"92-3,765",24-28,19,"121-1,000",62,28:13,12-6,0,16,2004,381,16.6,348,43,320,118,167,35,98-231,42.42,7-19,36.84,328-535,3514,7.0,219.6,29,14,38-222,498,1887,3.8,117.9,10,1071,5623,351.4,"66-1,568",23.8,46-441,10.5,13-194,14.9,38.5,"84-3,658",17-20,8,114-976,61,32:07,20-9,0,16
382,Offense--det-2005,15.9,254,28,258,69,151,38,87-224,38.84,7-17,41.18,297-520,2848,5.8,178.0,15,18,31-173,404,1471,3.6,91.9,10,955,4492,280.8,"55-1,239",22.5,36-274,10.4,19-308,16.2,37.3,"84-3,656",19-24,8,115-838,52,29:33,19-10,0,16,2005,383,16.4,345,39,308,109,166,33,82-208,39.42,6-11,54.55,295-487,3118,6.8,194.9,19,19,31-187,488,2040,4.2,127.5,15,1006,5345,334.1,"73-1,576",21.6,50-520,7.6,18-271,15.1,36.5,"72-2,899",24-30,5,130-953,59.563,31:09,24-12,0,16
384,Offense--det-2006,19.1,305,31,290,53,208,29,62-190,32.63,9-22,40.91,372-596,3820,7.1,238.8,21,22,63-388,304,1129,3.7,70.6,9,963,5337,333.6,"63-1,444",22.9,35-396,7.0,12-160,13.3,40.9,"66-2,967",29-33,17,116-939,58,27:41,26-17,0,16,2006,385,19.9,398,44,319,111,183,25,90-207,43.48,4-5,80.00,339-511,3520,7.3,220.0,22,12,30-201,492,2010,4.1,125.6,18,1033,5731,358.2,"74-1,648",22.3,38-267,11.3,22-280,12.7,38.7,"67-2,990",30-33,15,102-869,54.313,32:18,27-15,0,16
386,Offense--det-2007,21.6,346,37,303,73,203,27,62-190,32.63,4-10,40.00,368-587,3878,7.2,242.4,19,22,54-338,324,1288,4.0,80.5,13,965,5504,344.0,"65-1,750",26.9,18-148,12.1,17-362,21.3,37.9,"68-3,010",29-35,16,100-676,42,27:43,33-13,0,16,2007,387,22.2,444,56,363,116,221,26,97-213,45.54,9-12,75.00,422-602,4131,7.3,258.2,32,17,37-256,448,1911,4.3,119.4,19,1087,6298,393.6,"72-1,628",22.6,36-434,8.2,22-279,12.7,43.9,"59-2,741",17-27,17,113-897,56.063,32:39,36-16,0,16
